id	name	type	class	set	rarity	race	cost	attack	health	power
266	Vaporize	Spell	Mage	Classic	Rare		3			"Secret: When a minion attacks your hero, destroy it."
267	Cone of Cold	Spell	Mage	Classic	Common		4			"Freeze a minion and the minions next to it, and deal 1 damage to them."
268	Fireball	Spell	Mage	Basic	Free		4			Deal 6 damage.
269	Polymorph	Spell	Mage	Basic	Free		4			Transform a minion into a 1/1 Sheep.
270	Blizzard	Spell	Mage	Classic	Rare		6			Deal 2 damage to all enemy minions and Freeze them.
271	Flamestrike	Spell	Mage	Basic	Free		7			Deal 4 damage to all enemy minions.
272	Pyroblast	Spell	Mage	Classic	Epic		10			Deal 10 damage.
273	Blessing of Might	Spell	Paladin	Basic	Free		1			Give a minion +3 Attack.
274	Blessing of Wisdom	Spell	Paladin	Classic	Common		1			"Choose a minion. Whenever it attacks, draw a card."
275	Eye for an Eye	Spell	Paladin	Classic	Common		1			"Secret: When your hero takes damage, deal that much damage to the enemy hero."
276	Hand of Protection	Spell	Paladin	Basic	Free		1			Give a minion Divine Shield.
277	Humility	Spell	Paladin	Basic	Free		1			Change a minion's Attack to 1.
278	Noble Sacrifice	Spell	Paladin	Classic	Common		1			"Secret: When an enemy attacks, summon a 2/1 Defender as the new target."
279	Redemption	Spell	Paladin	Classic	Common		1			"Secret: When one of your minions dies, return it to life with 1 Health."
280	Repentance	Spell	Paladin	Classic	Common		1			"Secret: When your opponent plays a minion, reduce its Health to 1."
281	Equality	Spell	Paladin	Classic	Rare		2			Change the Health of ALL minions to 1.
282	Holy Light	Spell	Paladin	Basic	Free		2			Restore 6 Health.
283	Divine Favor	Spell	Paladin	Classic	Rare		3			Draw cards until you have as many in hand as your opponent.
284	Blessing of Kings	Spell	Paladin	Basic	Free		4			Give a minion +4/+4.
285	Consecration	Spell	Paladin	Basic	Free		4			Deal 2 damage to all enemies.
286	Hammer of Wrath	Spell	Paladin	Basic	Free		4			Deal 3 damage. Draw a card.
287	Blessed Champion	Spell	Paladin	Classic	Rare		5			Double a minion's Attack.
288	Holy Wrath	Spell	Paladin	Classic	Rare		5			Draw a card and deal damage equal to its cost.
289	Avenging Wrath	Spell	Paladin	Classic	Epic		6			Deal 8 damage randomly split among enemy characters.
290	Lay on Hands	Spell	Paladin	Classic	Epic		8			Restore 8 Health. Draw 3 cards.
291	Circle of Healing	Spell	Priest	Classic	Common		0			Restore 4 Health to ALL minions.
292	Silence	Spell	Priest	Classic	Common		0			Silence a minion.
293	Holy Smite	Spell	Priest	Basic	Free		1			Deal 2 damage.
294	Inner Fire	Spell	Priest	Classic	Common		1			Change a minion's Attack to be equal to its Health.
295	Mind Vision	Spell	Priest	Basic	Free		1			Put a copy of a random card in your opponent's hand into your hand.
296	Power Word: Shield	Spell	Priest	Basic	Free		1			Give a minion +2 Health. Draw a card.
297	Divine Spirit	Spell	Priest	Basic	Free		2			Double a minion's Health.
298	Mind Blast	Spell	Priest	Basic	Free		2			Deal 5 damage to the enemy hero.
299	Shadow Word: Pain	Spell	Priest	Basic	Free		2			Destroy a minion with 3 or less Attack.
300	Shadow Word: Death	Spell	Priest	Basic	Free		3			Destroy a minion with an Attack of 5 or more.
301	Shadowform	Spell	Priest	Classic	Epic		3			Your Hero Power becomes 'Deal 2 damage'. If already in Shadowform: 3 damage.
302	Thoughtsteal	Spell	Priest	Classic	Common		3			Copy 2 cards from your opponent's deck and put them into your hand.
303	Mass Dispel	Spell	Priest	Classic	Rare		4			Silence all enemy minions. Draw a card.
304	Mindgames	Spell	Priest	Classic	Epic		4			Put a copy of a random minion from your opponent's deck into the battlefield.
305	Shadow Madness	Spell	Priest	Classic	Rare		4			Gain control of an enemy minion with 3 or less Attack until end of turn.
306	Holy Nova	Spell	Priest	Basic	Free		5			Deal 2 damage to all enemies. Restore 2 Health to all friendly characters.
307	Holy Fire	Spell	Priest	Classic	Rare		6			Deal 5 damage. Restore 5 Health to your hero.
308	Mind Control	Spell	Priest	Basic	Free		10			Take control of an enemy minion.
309	Backstab	Spell	Rogue	Basic	Free		0			Deal 2 damage to an undamaged minion.
310	Preparation	Spell	Rogue	Classic	Epic		0			The next spell you cast this turn costs (3) less.
311	Shadowstep	Spell	Rogue	Classic	Common		0			Return a friendly minion to your hand. It costs (2) less.
312	Cold Blood	Spell	Rogue	Classic	Common		1			Give a minion +2 Attack. Combo: +4 Attack instead.
313	Conceal	Spell	Rogue	Classic	Common		1			Give your minions Stealth until your next turn.
314	Deadly Poison	Spell	Rogue	Basic	Free		1			Give your weapon +2 Attack.
315	Sinister Strike	Spell	Rogue	Basic	Free		1			Deal 3 damage to the enemy hero.
316	Betrayal	Spell	Rogue	Classic	Common		2			Force an enemy minion to deal its damage to the minions next to it.
317	Blade Flurry	Spell	Rogue	Classic	Rare		2			Destroy your weapon and deal its damage to all enemies.
318	Eviscerate	Spell	Rogue	Classic	Common		2			Deal 2 damage. Combo: Deal 4 damage instead.
319	Sap	Spell	Rogue	Basic	Free		2			Return an enemy minion to your opponent's hand.
320	Shiv	Spell	Rogue	Basic	Free		2			Deal 1 damage. Draw a card.
321	Fan of Knives	Spell	Rogue	Basic	Free		3			Deal 1 damage to all enemy minions. Draw a card.
322	Headcrack	Spell	Rogue	Classic	Rare		3			Deal 2 damage to the enemy hero. Combo: Return this to your hand next turn.
323	Assassinate	Spell	Rogue	Basic	Free		5			Destroy an enemy minion.
324	Vanish	Spell	Rogue	Basic	Free		6			Return all minions to their owner's hand.
325	Sprint	Spell	Rogue	Basic	Free		7			Draw 4 cards.
326	Ancestral Healing	Spell	Shaman	Basic	Free		0			Restore a minion to full Health and give it Taunt.
327	Totemic Might	Spell	Shaman	Basic	Free		0			Give your Totems +2 Health.
328	Earth Shock	Spell	Shaman	Classic	Common		1			"Silence a minion, then deal 1 damage to it."
329	Forked Lightning	Spell	Shaman	Classic	Common		1			Deal 2 damage to 2 random enemy minions. Overload: (2)
330	Frost Shock	Spell	Shaman	Basic	Free		1			Deal 1 damage to an enemy character and Freeze it.
331	Lightning Bolt	Spell	Shaman	Classic	Common		1			Deal 3 damage. Overload: (1)
332	Rockbiter Weapon	Spell	Shaman	Basic	Free		1			Give a friendly character +3 Attack this turn.
333	Ancestral Spirit	Spell	Shaman	Classic	Rare		2			"Choose a minion. When that minion is destroyed, return it to the battlefield."
334	Windfury	Spell	Shaman	Basic	Free		2			Give a minion Windfury.
335	Far Sight	Spell	Shaman	Classic	Epic		3			Draw a card. That card costs (3) less.
336	Feral Spirit	Spell	Shaman	Classic	Rare		3			Summon two 2/3 Spirit Wolves with Taunt. Overload: (2)
337	Hex	Spell	Shaman	Basic	Free		3			Transform a minion into a 0/1 Frog with Taunt.
338	Lava Burst	Spell	Shaman	Classic	Rare		3			Deal 5 damage. Overload: (2)
339	Lightning Storm	Spell	Shaman	Classic	Rare		3			Deal 2-3 damage to all enemy minions. Overload: (2)
340	Bloodlust	Spell	Shaman	Basic	Free		5			Give your minions +3 Attack this turn.
341	Sacrificial Pact	Spell	Warlock	Basic	Free		0			Destroy a Demon. Restore 5 Health to your hero.
342	Soulfire	Spell	Warlock	Basic	Free		1			Deal 4 damage. Discard a random card.
343	Corruption	Spell	Warlock	Basic	Free		1			"Choose an enemy minion. At the start of your turn, destroy it."
344	Mortal Coil	Spell	Warlock	Basic	Free		1			"Deal 1 damage to a minion. If that kills it, draw a card."
345	Power Overwhelming	Spell	Warlock	Classic	Common		1			"Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly."
346	Demonfire	Spell	Warlock	Classic	Common		2			"Deal 2 damage to a minion. If it's a friendly Demon, give it +2/+2 instead."
347	Drain Life	Spell	Warlock	Basic	Free		3			Deal 2 damage. Restore 2 Health to your hero.
348	Sense Demons	Spell	Warlock	Classic	Common		3			Put 2 random Demons from your deck into your hand.
349	Shadow Bolt	Spell	Warlock	Basic	Free		3			Deal 4 damage to a minion.
350	Hellfire	Spell	Warlock	Basic	Free		4			Deal 3 damage to ALL characters.
351	Shadowflame	Spell	Warlock	Classic	Rare		4			Destroy a friendly minion and deal its Attack damage to all enemy minions.
352	Bane of Doom	Spell	Warlock	Classic	Epic		5			"Deal 2 damage to a character. If that kills it, summon a random Demon."
353	Siphon Soul	Spell	Warlock	Classic	Rare		6			Destroy a minion. Restore 3 Health to your hero.
354	Twisting Nether	Spell	Warlock	Classic	Epic		8			Destroy all minions.
355	Inner Rage	Spell	Warrior	Classic	Common		0			Deal 1 damage to a minion and give it +2 Attack.
356	Execute	Spell	Warrior	Basic	Free		1			Destroy a damaged enemy minion.
357	Shield Slam	Spell	Warrior	Classic	Epic		1			Deal 1 damage to a minion for each Armor you have.
358	Upgrade!	Spell	Warrior	Classic	Rare		1			"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon."
359	Whirlwind	Spell	Warrior	Basic	Free		1			Deal 1 damage to ALL minions.
360	Battle Rage	Spell	Warrior	Classic	Common		2			Draw a card for each damaged friendly character.
361	Cleave	Spell	Warrior	Basic	Free		2			Deal 2 damage to two random enemy minions.
362	Commanding Shout	Spell	Warrior	Classic	Rare		2			Your minions can't be reduced below 1 Health this turn. Draw a card.
363	Heroic Strike	Spell	Warrior	Basic	Free		2			Give your hero +4 Attack this turn.
364	Rampage	Spell	Warrior	Classic	Common		2			Give a damaged minion +3/+3.
365	Slam	Spell	Warrior	Classic	Common		2			"Deal 2 damage to a minion. If it survives, draw a card."
366	Charge	Spell	Warrior	Basic	Free		3			Give a friendly minion +2 Attack and Charge.
367	Shield Block	Spell	Warrior	Basic	Free		3			Gain 5 Armor. Draw a card.
368	Mortal Strike	Spell	Warrior	Classic	Rare		4			"Deal 4 damage. If you have 12 or less Health, deal 6 instead."
369	Brawl	Spell	Warrior	Classic	Epic		5			Destroy all minions except one. (chosen randomly)
370	Eaglehorn Bow	Weapon	Hunter	Classic	Rare		3	3	2	"Whenever a friendly Secret is revealed, gain +1 Durability."
371	Gladiator's Longbow	Weapon	Hunter	Classic	Epic		7	5	2	Your hero is Immune while attacking.
372	Light's Justice	Weapon	Paladin	Basic	Free		1	1	4	
373	Sword of Justice	Weapon	Paladin	Classic	Epic		3	1	5	"Whenever you summon a minion, give it +1/+1 and this loses 1 Durability."
374	Truesilver Champion	Weapon	Paladin	Basic	Free		4	4	2	"Whenever your hero attacks, restore 2 Health to it."
375	Perdition's Blade	Weapon	Rogue	Classic	Rare		3	2	2	Battlecry: Deal 1 damage. Combo: Deal 2 instead.
376	Assassin's Blade	Weapon	Rogue	Basic	Free		5	3	4	
377	Stormforged Axe	Weapon	Shaman	Classic	Common		2	2	3	Overload: (1)
378	Doomhammer	Weapon	Shaman	Classic	Epic		5	2	8	"Windfury, Overload: (2)"
379	Fiery War Axe	Weapon	Warrior	Basic	Free		2	3	2	
380	Arcanite Reaper	Weapon	Warrior	Basic	Free		5	5	2	
381	Gorehowl	Weapon	Warrior	Classic	Epic		7	7	1	Attacking a minion costs 1 Attack instead of 1 Durability.
382	Adrenaline Rush	Spell	Rogue	Discarded	Epic		1			Draw a card. Combo: Draw 2 cards instead.
383	Legacy of the Emperor	Spell		Tutorial	Free		3			Give your minions +2/+2.
384	Metamorphosis	Spell		Tutorial	Free		6			Do something crazy.
385	Huffer	Minion		Basic	Free	Beast	3	4	2	Charge
386	Leokk	Minion		Basic	Free	Beast	3	2	4	Other friendly minions have +1 Attack.
387	Misha	Minion		Basic	Free	Beast	3	4	4	Taunt
388	Devilsaur	Minion		Classic	Common	Beast	5	5	5	
389	Transcendence	Spell		Tutorial	Free		1			"Until you kill Cho's minions, he can't be attacked."
390	The Coin	Spell		Basic	Free		0			Gain 1 Mana Crystal this turn only.
391	Flame Burst	Spell		Tutorial	Free		3			Shoot 5 missiles at random enemies for 1 damage each.
392	Ashbringer	Weapon		Classic	Legendary		5	5	3	
393	Mukla's Big Brother	Minion		Tutorial	Free		6	10	10	
394	Healing Totem	Minion		Basic	Free	Totem	1	0	2	"At the end of your turn, restore 1 Health to all friendly minions."
395	Emboldener 3000	Minion		Promotion	Common	Mech	1	0	4	"At the end of your turn, give a random minion +1/+1."
396	Stomp	Spell		Tutorial	Free		2			Deal 2 damage to all enemies.
397	Demigod's Favor	Spell		Classic	Common		0			Give your other minions +2/+2.
398	Leader of the Pack	Spell		Classic	Common		0			Give your minions +1/+1.
399	Shan'do's Lesson	Spell		Classic	Common		0			Summon two 2/2 Treants with Taunt.
400	Summon a Panther	Spell		Classic	Common		0			Summon a 3/2 Panther.
401	Battle Axe	Weapon		Classic	Common		1	2	2	
402	Repair Bot	Minion		Promotion	Common	Mech	1	0	3	"At the end of your turn, restore 6 Health to a damaged character."
403	Searing Totem	Minion		Basic	Free	Totem	1	1	1	
404	Stoneclaw Totem	Minion		Basic	Free	Totem	1	0	2	Taunt
405	Chicken	Minion		Classic	Common	Beast	0	1	1	
406	Murloc Scout	Minion		Basic	Free	Murloc	0	1	1	
407	Sheep	Minion		Basic	Free	Beast	0	1	1	
408	Snake	Minion		Classic	Common	Beast	0	1	1	
409	Violet Apprentice	Minion		Classic	Common		0	1	1	
410	Barrel	Minion		Tutorial	Free		0	0	2	
411	Frog	Minion		Basic	Free	Beast	0	0	1	Taunt
412	Shadow of Nothing	Minion		Classic	Epic		0	0	1	
413	Squire	Minion		Classic	Common		1	2	2	
414	Treant	Minion		Classic	Common		1	2	2	"Charge. At the end of the turn, destroy this minion."
415	Damaged Golem	Minion		Classic	Common	Mech	1	2	1	
416	Defender	Minion		Classic	Common		1	2	1	
417	Defias Bandit	Minion		Classic	Common		1	2	1	
418	Flame of Azzinoth	Minion		Classic	Common		1	2	1	
419	Mechanical Dragonling	Minion		Basic	Free	Mech	1	2	1	
420	Riverpaw Gnoll	Minion		Tutorial	Free		1	2	1	
421	Crazy Monkey	Minion		Tutorial	Free		1	1	2	Battlecry: Throw Bananas.
422	Boar	Minion		Basic	Free	Beast	1	1	1	
423	Crazed Hunter	Minion		Tutorial	Free		1	1	1	
424	Gnoll	Minion		Classic	Common		2	2	2	Taunt
425	Hound	Minion		Classic	Common	Beast	1	1	1	Charge
426	Imp	Minion		Classic	Rare	Demon	1	1	1	
427	Murloc	Minion		Classic	Common	Murloc	1	1	1	
428	Naga Myrmidon	Minion		Tutorial	Free		1	1	1	
429	Pandaren Scout	Minion		Tutorial	Free		1	1	1	
430	Silver Hand Recruit	Minion		Basic	Free		1	1	1	
431	Squirrel	Minion		Classic	Common	Beast	1	1	1	
432	Whelp	Minion		Classic	Common	Dragon	1	1	1	
433	Worthless Imp	Minion		Classic	Common	Demon	1	1	1	
434	Homing Chicken	Minion		Promotion	Common	Mech	1	0	1	"At the start of your turn, destroy this minion and draw 3 cards."
435	Poultryizer	Minion		Promotion	Common	Mech	1	0	3	"At the start of your turn, transform a random minion into a 1/1 Chicken."
436	Wrath of Air Totem	Minion		Basic	Free	Totem	1	0	2	Spell Damage +1
437	Finkle Einhorn	Minion		Classic	Legendary		2	3	3	
438	Panther	Minion		Classic	Common	Beast	2	3	2	
439	Spirit Wolf	Minion		Classic	Rare		2	2	3	Taunt
440	Hyena	Minion		Classic	Rare	Beast	2	2	2	
441	Shado-Pan Monk	Minion		Tutorial	Free		2	2	2	
442	Hidden Gnome	Minion		Tutorial	Free		2	1	3	
443	Laughing Sister	Minion		Classic	Common		3	3	5	Can't be targeted by Spells or Hero Powers.
444	Emerald Drake	Minion		Classic	Common	Dragon	4	7	6	
445	Baine Bloodhoof	Minion		Classic	Legendary		4	4	5	
446	Brewmaster	Minion		Tutorial	Free		4	4	4	
447	Massive Gnoll	Minion		Tutorial	Free		4	5	2	
448	Infernal	Minion		Classic	Common	Demon	6	6	6	
449	Ancient Secrets	Spell		Classic	Common		0			Restore 5 Health.
450	Ancient Teachings	Spell		Classic	Common		0			Draw 2 cards.
451	Bear Form	Spell		Classic	Common		0			+2 Health and Taunt.
452	Cat Form	Spell		Classic	Common		0			Charge
453	Dispel	Spell		Classic	Common		0			Silence a minion.
454	Dream	Spell		Classic	Common		0			Return a minion to its owner's hand.
455	Excess Mana	Spell		Basic	Free		0			Draw a card.
456	Nightmare	Spell		Classic	Common		0			"Give a minion +5/+5. At the start of your next turn, destroy it."
457	Rooted	Spell		Classic	Common		0			+5 Health and Taunt.
458	Uproot	Spell		Classic	Common		0			+5 Attack.
459	Bananas	Spell		Classic	Common		1			Give a minion +1/+1.
460	Ysera Awakens	Spell		Classic	Common		2			Deal 5 damage to all characters except Ysera.
461	I Am Murloc	Spell		Promotion	Common		4			"Summon three, four, or five 1/1 Murlocs."
462	Power of the Horde	Spell		Promotion	Common		4			Summon a random Horde Warrior.
463	Rogues Do It¡­	Spell		Promotion	Common		4			Deal 4 damage. Draw a card.
464	Barrel Toss	Spell		Tutorial	Free		1			Deal 2 damage.
465	Hogger SMASH!	Spell		Tutorial	Free		3			Deal 4 damage.
466	Will of Mukla	Spell		Tutorial	Free		3			Restore 8 Health.
467	Heavy Axe	Weapon		Classic	Common		1	1	3	
468	Wicked Knife	Weapon		Basic	Free		1	1	2	
469	Blood Fury	Weapon		Classic	Common		3	3	8	
470	Warglaive of Azzinoth	Weapon		Tutorial	Free		2	2	2	
471	Dual Warglaives	Weapon		Tutorial	Free		6	4	2	
472	Skeleton	Minion	Neutral	Discarded	Free		3	3	3	
473	Druid of the Claw	Minion		Classic	Common	Beast	5	4	6	Taunt
474	Druid of the Claw	Minion		Classic	Common	Beast	5	4	4	Charge
475	Moonfire	Spell		Classic	Common		0			Deal 2 damage.
476	Mirror Image	Minion		Basic	Free		0	0	2	Taunt
477	Spellbender	Minion		Classic	Epic		0	1	3	
478	Treant	Minion		Classic	Common		1	2	2	Taunt
479	Treant	Minion		Classic	Common		1	2	2	
480	Gnoll	Minion		Tutorial	Free		1	1	1	
481	Skeleton	Minion		Naxxramas	Free		1	1	1	
482	Skeleton	Minion		Naxxramas	Free		5	5	5	
483	Nerub'ar Weblord	Minion	Neutral	Naxxramas	Common		2	1	4	Minions with Battlecry cost (2) more.
484	Deathcharger	Minion		Naxxramas	Free		1	2	3	Charge. Deathrattle: Deal 3 damage to your hero.
485	Deathlord	Minion	Neutral	Naxxramas	Rare		3	2	8	Taunt. Deathrattle: Your opponent puts a minion from their deck into the battlefield.
486	Stoneskin Gargoyle	Minion	Neutral	Naxxramas	Common		3	1	4	"At the start of your turn, restore this minion to full Health."
487	Nerubian	Minion		Naxxramas	Free		2	3	1	
488	Nerubian	Minion		Naxxramas	Free		2	4	4	
489	Anub'ar Ambusher	Minion	Rogue	Naxxramas	Common		4	5	5	Deathrattle: Return a random friendly minion to your hand.
490	Haunted Creeper	Minion	Neutral	Naxxramas	Common	Beast	2	1	2	Deathrattle: Summon two 1/1 Spectral Spiders.
491	Spectral Spider	Minion		Naxxramas	Free		1	1	1	
492	Nerubian Egg	Minion	Neutral	Naxxramas	Rare		2	0	2	Deathrattle: Summon a 4/4 Nerubian.
493	Nerubian	Minion		Naxxramas	Rare		3	4	4	
494	Shade of Naxxramas	Minion	Neutral	Naxxramas	Epic		3	2	2	"Stealth. At the start of your turn, gain +1/+1."
495	Dancing Swords	Minion	Neutral	Naxxramas	Common		3	4	4	Deathrattle: Your opponent draws a card.
496	Dark Cultist	Minion	Priest	Naxxramas	Common		3	3	4	Deathrattle: Give a random friendly minion +3 Health.
497	Necroknight	Minion		Naxxramas	Free		4	5	6	Deathrattle: Destroy the minions next to this one as well.
498	Worshipper	Minion		Naxxramas	Free		3	1	4	Your hero has +1 Attack on your turn.
499	Worshipper	Minion		Naxxramas	Free		3	2	4	Your hero has +3 Attack on your turn.
500	Undertaker	Minion	Neutral	Naxxramas	Common		1	1	2	"Whenever you summon a minion with Deathrattle, gain +1 Attack."
501	Webspinner	Minion	Hunter	Naxxramas	Common	Beast	1	1	1	Deathrattle: Add a random Beast card to your hand.
502	Sludge Belcher	Minion	Neutral	Naxxramas	Rare		5	3	5	Taunt. Deathrattle: Summon a 1/2 Slime with Taunt.
503	Slime	Minion		Naxxramas	Free		1	1	2	Taunt
504	Maexxna	Minion	Neutral	Naxxramas	Legendary	Beast	6	2	8	Destroy any minion damaged by this minion.
505	Echoing Ooze	Minion	Neutral	Naxxramas	Epic		2	1	2	Battlecry: Summon an exact copy of this minion at the end of the turn.
506	Spectral Knight	Minion	Neutral	Naxxramas	Common		5	4	6	Can't be targeted by Spells or Hero Powers.
507	Avatar of the Coin	Minion		Discarded	Free		0	1	1	
508	Fallout Slime	Minion		Naxxramas	Free		1	2	2	
509	Feugen	Minion	Neutral	Naxxramas	Legendary		5	4	7	"Deathrattle: If Stalagg also died this game, summon Thaddius."
510	Frozen Champion	Minion		Naxxramas	Free		5	2	10	Permanently Frozen. Adjacent minions are Immune to Frost Breath.
511	Guardian of Icecrown	Minion		Naxxramas	Free		4	3	3	Taunt
512	Guardian of Icecrown	Minion		Naxxramas	Free		4	5	5	Taunt
513	Lady Blaumeux	Minion		Naxxramas	Free		3	1	7	Your hero is Immune.
514	Lady Blaumeux	Minion		Naxxramas	Free		3	2	7	Your hero is Immune.
515	Mr. Bigglesworth	Minion		Naxxramas	Legendary	Beast	0	1	1	
516	Sir Zeliek	Minion		Naxxramas	Free		3	1	7	Your hero is Immune.
517	Sir Zeliek	Minion		Naxxramas	Free		3	2	7	Your hero is Immune.
518	Skeletal Smith	Minion		Naxxramas	Free		3	4	3	Deathrattle: Destroy your opponent's weapon.
519	Spectral Rider	Minion		Naxxramas	Free		5	0	6	"At the start of your turn, deal 1 damage to your hero."
520	Spectral Trainee	Minion		Naxxramas	Free		1	0	2	"At the start of your turn, deal 1 damage to your hero."
521	Spectral Warrior	Minion		Naxxramas	Free		3	0	4	"At the start of your turn, deal 1 damage to your hero."
522	Spore	Minion		Naxxramas	Free		0	0	1	Deathrattle: Give all enemy minions +8 Attack.
523	Stalagg	Minion	Neutral	Naxxramas	Legendary		5	7	4	"Deathrattle: If Feugen also died this game, summon Thaddius."
524	Thane Korth'azz	Minion		Naxxramas	Free		3	1	7	Your hero is Immune.
525	Thane Korth'azz	Minion		Naxxramas	Free		3	2	7	Your hero is Immune.
526	Understudy	Minion		Naxxramas	Free		2	0	7	Taunt
527	Unrelenting Rider	Minion		Naxxramas	Free		6	5	6	Deathrattle: Summon a Spectral Rider for your opponent.
528	Unrelenting Trainee	Minion		Naxxramas	Free		1	2	2	Deathrattle: Summon a Spectral Trainee for your opponent.
529	Unrelenting Warrior	Minion		Naxxramas	Free		3	3	4	Deathrattle: Summon a Spectral Warrior for your opponent.
530	Mad Scientist	Minion	Neutral	Naxxramas	Common		2	2	2	Deathrattle: Put a Secret from your deck into the battlefield.
531	Unstable Ghoul	Minion	Neutral	Naxxramas	Common		2	1	3	Taunt. Deathrattle: Deal 1 damage to all minions.
532	Zombie Chow	Minion	Neutral	Naxxramas	Common		1	2	3	Deathrattle: Restore 5 Health to the enemy hero.
533	Wailing Soul	Minion	Neutral	Naxxramas	Rare		4	3	5	Battlecry: Silence your other minions.
534	Baron Rivendare	Minion	Neutral	Naxxramas	Legendary		4	1	7	Your minions trigger their Deathrattles twice.
535	Kel'Thuzad	Minion	Neutral	Naxxramas	Legendary		8	6	8	"At the end of each turn, summon all friendly minions that died this turn."
536	Loatheb	Minion	Neutral	Naxxramas	Legendary		5	5	5	Battlecry: Enemy spells cost (5) more next turn.
537	Thaddius	Minion		Naxxramas	Legendary		10	11	11	
538	Voidcaller	Minion	Warlock	Naxxramas	Common	Demon	4	3	4	Deathrattle: Put a random Demon from your hand into the battlefield.
539	Locust Swarm	Spell		Naxxramas	Free		7			Deal 3 damage to all enemy minions. Restore 3 Health to you hero.
540	Reincarnate	Spell	Shaman	Naxxramas	Common		2			"Destroy a minion, then return it to life with full Health."
541	Poison Seeds	Spell	Druid	Naxxramas	Common		4			Destroy all minions and summon 2/2 Treants to replace them.
542	Necrotic Poison	Spell		Naxxramas	Free		2			Destroy a minion.
543	Deathbloom	Spell		Naxxramas	Free		4			Deal 5 damage to a minion. Summon a Spore.
544	Enrage	Spell		Naxxramas	Free		3			Give your hero +6 Attack this turn.
545	Mark of the Horsemen	Spell		Naxxramas	Free		5			Give your minions and your weapon +1/+1.
546	Mind Control Crystal	Spell		Naxxramas	Free		1			Activate the Crystal to control the Understudies!
547	Mindpocalypse	Spell		Naxxramas	Free		2			Both players draw 2 cards and gain a Mana Crystal.
548	Mutating Injection	Spell		Naxxramas	Free		3			Give a minion +4/+4 and Taunt
549	NOOOOOOOOOOOO	Spell		Basic	Free		2			"Somehow, the card you USED to have has been deleted. Here, have this one instead!"
550	Plague	Spell		Naxxramas	Free		6			Destroy all non-Skeleton minions.
551	Pure Cold	Spell		Naxxramas	Free		5			"Deal 8 damage to the enemy hero, and Freeze it."
552	Sporeburst	Spell		Naxxramas	Free		1			Deal 1 damage to all enemy minions. Summon a Spore.
553	Supercharge	Spell		Naxxramas	Free		2			Give your minions +2 Health.
554	Duplicate	Spell	Mage	Naxxramas	Common		3			"Secret: When a friendly minion dies, put 2 copies of it into your hand."
555	Avenge	Spell	Paladin	Naxxramas	Common		1			"Secret: When one of your minions dies, give a random friendly minion +3/+2."
556	Hook	Weapon		Naxxramas	Free		3	5	8	Deathrattle: Put this weapon into your hand.
557	Hook	Weapon		Naxxramas	Free		3	4	8	"Windfury, Deathrattle: Put this weapon into your hand."
558	Jaws	Weapon		Naxxramas	Free		1	1	5	"Whenever a minion with Deathrattle dies, gain +2 Attack."
559	Jaws	Weapon		Naxxramas	Free		1	3	5	"Whenever a minion with Deathrattle dies, gain +2 Attack."
560	Massive Runeblade	Weapon		Naxxramas	Free		3	5	2	Deals double damage to heroes.
561	Massive Runeblade	Weapon		Naxxramas	Free		3	10	2	Deals double damage to heroes.
562	Runeblade	Weapon		Naxxramas	Free		3	1	3	Has +3 Attack if the other Horsemen are dead.
563	Runeblade	Weapon		Naxxramas	Free		3	2	3	Has +6 Attack if the other Horsemen are dead.
564	Death's Bite	Weapon	Warrior	Naxxramas	Common		4	4	2	Deathrattle: Deal 1 damage to all minions.
565	Chicken	Minion		Goblins vs Gnomes	Free	Beast	1	1	1	
566	Imp	Minion		Goblins vs Gnomes	Free	Demon	1	1	1	
567	Clockwork Gnome	Minion	Neutral	Goblins vs Gnomes	Common	Mech	1	2	1	Deathrattle: Add a Spare Part card to your hand.
568	Cogmaster	Minion	Neutral	Goblins vs Gnomes	Common		1	1	2	Has +2 Attack while you have a Mech.
569	Annoy-o-Tron	Minion	Neutral	Goblins vs Gnomes	Common	Mech	2	1	2	Taunt. Divine Shield.
570	Explosive Sheep	Minion	Neutral	Goblins vs Gnomes	Common	Mech	2	1	1	Deathrattle: Deal 2 damage to all minions.
571	Gilblin Stalker	Minion	Neutral	Goblins vs Gnomes	Common		2	2	3	Stealth
572	Mechwarper	Minion	Neutral	Goblins vs Gnomes	Common	Mech	2	2	3	Your Mechs cost (1) less.
573	Micro Machine	Minion	Neutral	Goblins vs Gnomes	Common	Mech	2	1	2	"At the start of each turn, gain +1 Attack."
574	Puddlestomper	Minion	Neutral	Goblins vs Gnomes	Common	Murloc	2	3	2	
575	Ship's Cannon	Minion	Neutral	Goblins vs Gnomes	Common		2	2	3	"Whenever you summon a Pirate, deal 2 damage to a random enemy."
576	Stonesplinter Trogg	Minion	Neutral	Goblins vs Gnomes	Common		2	2	3	"Whenever your opponent casts a spell, gain +1 Attack."
577	Flying Machine	Minion	Neutral	Goblins vs Gnomes	Common	Mech	3	1	4	Windfury
578	Gnomeregan Infantry	Minion	Neutral	Goblins vs Gnomes	Common		3	1	4	Charge. Taunt.
579	Ogre Brute	Minion	Neutral	Goblins vs Gnomes	Common		3	4	4	50% chance to attack the wrong enemy.
580	Spider Tank	Minion	Neutral	Goblins vs Gnomes	Common	Mech	3	3	4	
